HOUSEID,TDTRPNUM,VEHID,PERSONID,HOMEOWN,HHSIZE,HHFAMINC,DRVRCNT,WRKCOUNT,YOUNGCHILD,LIF_CYC_CAT,R_AGE,EDUC,R_SEX,WORKER,HTPPOPDN,HTEEMPDN,HBPPOPDN,OTEEMPDN,OBPPOPDN,DTEEMPDN,DBPPOPDN,TDWKND,STRTTIME_CAT,TRIPPURP_CAT,WHYTO_CAT,DWELTIME,DWELTIME_CAT,TRPMILES,TRPMILES_CAT,NUMONTRP,NUMONTRP_CAT,GASPRICE,GASPRICE_USD,FUELTYPE_BIN
30000775,1,2,2,1,2,2,2,0,0,1,73,3,1,2,7,3,3,3,3,3,3,Weekday trip,10 AM - 3 PM,Home based trip,Social & recreational,53,50-150 minutes,3.8199999,2-5 miles,1,1 passenger,220.3,2.2030001,1
30000775,3,1,1,1,2,2,2,0,0,1,68,3,2,2,7,3,3,3,3,3,7,Weekday trip,3 PM - 7 PM,Home based trip,Errands,15,1-15 minutes,1.76,0-2 miles,1,1 passenger,220.3,2.2030001,3
30000775,3,2,2,1,2,2,2,0,0,1,73,3,1,2,7,3,3,5,17,3,3,Weekday trip,10 AM - 3 PM,non-home based trip,Shopping & Dining,10,1-15 minutes,1.188,0-2 miles,1,1 passenger,220.3,2.2030001,1
30000775,2,2,2,1,2,2,2,0,0,1,73,3,1,2,7,3,3,3,3,5,17,Weekday trip,10 AM - 3 PM,non-home based trip,Shopping & Dining,25,15-50 minutes,3.6760001,2-5 miles,1,1 passenger,220.3,2.2030001,1
30000775,1,1,1,1,2,2,2,0,0,1,68,3,2,2,7,3,3,3,3,3,3,Weekday trip,6 AM - 10 AM,Home based trip,Social & recreational,130,50-150 minutes,3.8199999,2-5 miles,1,1 passenger,220.3,2.2030001,3
30000931,3,2,1,1,2,1,2,0,0,1,69,3,2,2,1.5,1.5,1.5,3,7,3,7,Weekday trip,3 PM - 7 PM,non-home based trip,Shopping & Dining,20,15-50 minutes,2.0009999,2-5 miles,1,1 passenger,233.60001,2.336,3
30000931,2,1,2,1,2,1,2,0,0,1,68,1,1,2,1.5,1.5,1.5,.75,3,.75,3,Weekday trip,6 AM - 10 AM,non-home based trip,Shopping & Dining,15,1-15 minutes,.15899999,0-2 miles,1,1 passenger,233.60001,2.336,3
30000931,2,2,1,1,2,1,2,0,0,1,69,3,2,2,1.5,1.5,1.5,3,7,3,7,Weekday trip,3 PM - 7 PM,non-home based trip,Errands,15,1-15 minutes,.778,0-2 miles,1,1 passenger,233.60001,2.336,3
30000931,1,2,1,1,2,1,2,0,0,1,69,3,2,2,1.5,1.5,1.5,1.5,1.5,3,7,Weekday trip,10 AM - 3 PM,Home based trip,Social & recreational,100,50-150 minutes,13.464,5-15 miles,1,1 passenger,233.60001,2.336,3
30000931,1,1,2,1,2,1,2,0,0,1,68,1,1,2,1.5,1.5,1.5,1.5,1.5,.75,3,Weekday trip,6 AM - 10 AM,Home based trip,Shopping & Dining,20,15-50 minutes,2.707,2-5 miles,1,1 passenger,233.60001,2.336,3
